component_id,batch_id,prop__aktivnyi_azot_kislorod_pct_mass_n_ili_o,prop__anilinovaya_tochka,prop__atomnoe_otnoshenie_p_zn,prop__coc_c,prop__deaeratsiya_astm_d3427_min,prop__deem_emulsiya_astm_d1401_ml,prop__deem_maslo_astm_d1401_ml,prop__deem_voda_astm_d1401_ml,prop__deem_vremya_astm_d1401_min,prop__dinamicheskaya_vyazkost_ccs_15_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_20_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_25_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_30_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_35_c_astm_d5293_mpa_s,prop__dipolnyi_moment_d,prop__dlina_uglerodnoi_tsepi,prop__energiya_dissotsiatsii_svyazi_h_n_kkal_mol,prop__energiya_nsmo_ev,prop__energiya_vzmo_ev,prop__gruppa_po_api,prop__himicheskii_potentsial_dzh_mol,prop__indeks_polidispersnosti,prop__indeks_stabilnosti_pct,prop__indeks_vyazkosti_gost_25371,prop__indeks_vyazkosti_gost_25371_2,prop__isparyaemost_po_noack_astm_d5800_pct,prop__isparyaemost_po_noack_astm_d5800_pct_mass,prop__kinematicheskaya_vyazkost,prop__kinematicheskaya_vyazkost_pri_100_c_astm_d445_mm2_s,prop__kinematicheskaya_vyazkost_pri_300s_astm_d445_mm2_s,prop__kinematicheskaya_vyazkost_pri_40_c_astm_d445_mm2_s,prop__kislotnoe_chislo_gost_11362_mg_koh_g,prop__massa_gidrofobnogo_hvosta_g_mol,prop__massovaya_dolya_fosfora_astm_d6481_pct_mass,prop__massovaya_dolya_fosfora_astm_d6481_pct_mass_2,prop__massovaya_dolya_kaltsiya_astm_d6481_pct_mass,prop__massovaya_dolya_kaltsiya_astm_d6481_pct_mass_2,prop__massovaya_dolya_sery_astm_d6481_pct_mass,prop__massovaya_dolya_sery_astm_d6481_pct_mass_2,prop__massovaya_dolya_sulfatnoi_zoly_gost_12417_pct,prop__massovaya_dolya_tsinka_astm_d6481_pct_mass,prop__massovaya_dolya_tsinka_astm_d6481_pct_mass_2,prop__obschee_soderzhanie_azota_astm_d3228_pct,prop__opredelenie_soderzhaniya_vody_metodom_karla_fishera_astm_d_6304_ppm,prop__otnoshenie_mylo_osnovanie,prop__otnoshenie_s_mo,prop__pct_mass_mo,prop__plotnost_pri_15_s_astm_d4052_g_sm3,prop__plotnost_pri_15_s_astm_d4052_kg_m3,prop__plotnost_pri_20_s_astm_d4052_kg_m3,prop__posledovatelnost_1_astm_d892_sm3,prop__posledovatelnost_2_astm_d892_sm3,prop__posledovatelnost_3_astm_d892_sm3,prop__potentsial_ionizatsii_ev,prop__razmer_mitsell_nm,prop__schelochnoe_chislo_astm_d2896_mg_koh_g,prop__schelochnoe_chislo_gost_11362_mg_koh_g,prop__soderzhanie_azota,prop__soderzhanie_bora,prop__soderzhanie_masla,prop__soderzhanie_masla_pct_mass,prop__soderzhanie_metalla_ca_mg_pct_mass,prop__soderzhanie_mgco3_caco3_pct_mass,prop__soderzhanie_myla_pct_mass,prop__soderzhanie_polimera,prop__soderzhanie_sery_mg_kg,prop__soderzhanie_sery_pct_mass,prop__soderzhanie_vody_pct_mass,prop__sootnoshenie_monomerov_eo_po,prop__srednevesovaya_massa,prop__stepen_polisulfidnosti,prop__stericheskii_faktor_a3,prop__temperatura_plavleniya_c,prop__temperatura_provedeniya_testa_c,prop__temperatura_zastyvaniya_gost_20287_metod_b_c,prop__tsvet_astm_d1500_ed,prop__tsvet_seibolt_ed
Базовое_масло_1,02375.24,,,,,,,,,,491.0,777.0,1321.0,2359.0,,,,,,,,,,,,112.0,,,,4.52,,22.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.0,,
Базовое_масло_1,0248.24,,,,,,0.0,40.0,40.0,5.0,530.0,829.0,1373.0,2418.0,4530.0,,,,,,,,,,,112.0,14.2,,,4.51,,22.64,,,,0.0001,,0.0002,,0.0009,,,0.0001,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-24.0,,
Базовое_масло_1,02509.25,,,,,,,,,,477.0,746.0,1233.0,2112.0,,,,,,,,,,,,,,,,4.428,,21.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_1,02593.23,,,,,,,,,,,,,2303.0,,,,,,,,,,,,112.0,,,,4.48,,22.36,,,,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
Базовое_масло_1,03004.23,,,,,,0.0,40.0,40.0,5.0,518.0,800.0,1321.0,2309.0,,,,,,,,,,,,112.0,14.0,,,4.46,,22.26,,,,0.0001,,0.0003,,0.0002,,,0.0001,,,,,,,,,0.0,0.0,50.0,,,,,,,,,,,,,,,,,,,,,,-24.0,,
Базовое_масло_1,0318.25,,,,,,,,,,,784.0,1294.0,2234.0,,,,,,,,,,,,,,,,4.44,,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_1,03616.23,,,,,,0.0,41.0,39.0,5.0,527.0,827.0,1350.0,2365.0,,,,,,,,,,,,111.0,15.1,,,4.47,,22.4,,,,0.0001,,0.0002,,0.0006,,,0.0001,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-24.0,,
Базовое_масло_1,069.23,,,,,,0.0,40.0,40.0,5.0,468.0,777.0,1273.0,2243.0,4211.0,,,,,,,,,,,111.0,14.0,,,4.49,,22.54,,,,0.0001,,0.0001,,0.0001,,,0.0001,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-23.0,,
Базовое_масло_1,0760.25,,,,,,,,,,,781.0,1258.0,2198.0,4047.0,,,,,,,,,,,113.0,,,,4.43,,21.84,,,,,,,,,,,,,,,,,,843.5,840.3,,,,,,,,,,,,,,,,,,,,,,,,,-23.0,,
Базовое_масло_1,0766.24,,,,,,,,,,535.0,842.0,1398.0,2472.0,,,,,,,,,,,,113.0,13.3,,,4.56,,22.94,,,,2e-05,,0.0002,,7e-05,,,4e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-26.0,,
Базовое_масло_1,090.25,,,,,,,,,,,784.0,1269.0,2226.0,4106.0,,,,,,,,,,,,,,,4.36,,21.29,,,,,,,,,,,,,,,,,,843.1,839.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_10,01667.22,,,,,,0.0,40.0,40.0,5.0,496.0,808.0,1348.0,2348.0,4359.0,,,,,,,,,,,113.0,13.4,,,4.55,,22.88,,,,0.0001,,0.0012,,0.0001,,,0.0001,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-24.0,,
Базовое_масло_10,01936.22 (CCS 2700),,,,,,0.0,40.0,40.0,5.0,531.0,865.0,1493.0,2674.0,,,,,,,,,,,,112.0,13.4,,,4.66,,23.95,,,,0.0001,,0.0002,,0.0006,,,0.0001,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-24.0,,
Базовое_масло_10,02597.22,,,,,,0.0,40.0,40.0,5.0,463.0,757.0,1182.0,2063.0,3819.0,,,,,,,,,,,113.0,14.7,,,4.38,,,,,,7e-05,,3e-05,,2e-05,,,5e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-26.0,,
Базовое_масло_10,0285.21,,,,,,,,,,,,,2579.0,,,,,,,,,,,,,,,,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_10,0285.22,,,,,,0.0,40.0,40.0,5.0,524.0,849.0,1463.0,2633.0,15217.0,,,,,,,,,,,111.0,14.7,,,4.61,,23.58,,,,9e-05,,3.8e-05,,2e-05,,,1e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,
Базовое_масло_10,0771.22,,,,,,0.0,40.0,40.0,5.0,517.0,838.0,1397.0,2488.0,4604.0,,,,,,,,,,,112.0,14.3,,,4.544,,22.979,,,,2e-05,,0.00015,,0.00023,,,2e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-23.0,,
Базовое_масло_11,0879.23,,,,,,0.0,43.0,37.0,5.0,1184.0,2242.0,4648.0,10120.0,,,,,,,,,,,,100.0,14.1,,,5.38,,32.25,,,,0.0001,,0.0004,,0.024,,,0.0001,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-17.0,,
Базовое_масло_12,02907.23,,,,,,,,,,,,498.0,766.0,1259.0,,,,,,,,,,,,,,,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.0,,
Базовое_масло_13,0934.22,,,,,,0.0,40.0,40.0,5.0,1181.0,2011.0,4345.0,6680.0,,,,,,,,,,,,116.0,4.6,,,6.39,,38.55,,,,0.00016,,0.00071,,0.00082,,,4e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-16.0,,
Базовое_масло_14,_22.04.2025,,,,,,,,,,13.0,25.0,50.0,100.0,200.0,,,,,,,,,,,,,,,1.02,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_14,Р-10 от 13.05.2024,,,,,,,,,,,4.0,2.0,4.0,,,,,,,,,,,,,,,,1.02,,5.01,,,,,,,,,,,,,,,,,,801.4,798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_14,из ЦП 19.09.23г,,,,,,,,,,13.0,25.0,50.0,100.0,200.0,,,,,,,,,,,,90.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_15,02602.23,,,,,,,,,,,,,149.0,286.0,,,,,,,,,,,98.0,,,,2.05,248.0,7.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-58.0,,
Базовое_масло_16,02959.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.0,,
Базовое_масло_16,067.23,,,,,,,,,,13.0,25.0,50.0,100.0,,,,,,,,,,,,,,,,1.5,,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_16,25721.17,,,,,,,,,,13.0,25.0,50.0,99.0,200.0,,,,,,,,,,,,90.0,,,1.17,,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_17,без номера,,,,,,,,,,13.0,25.0,50.0,99.0,200.0,,,,,,,,,,,,90.0,,,1.45,,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.0,,
Базовое_масло_2,01009.22,,,,,,,,,,1220.0,2317.0,4827.0,10684.0,,,,,,,,,,,,95.0,14.7,,,5.39,,33.01,,,,4e-05,,3e-05,,0.0236,,,5e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-18.0,,
Базовое_масло_2,01302.22,,,,,,0.0,40.0,40.0,5.0,1286.0,2351.0,4925.0,10923.0,22000.0,,,,,,,,,,,94.0,15.6,,,5.37,,32.96,,,,3e-05,,3e-05,,0.0289,,,1.2e-05,,,,,,,,,430.0,30.0,460.0,,,,,,,,,,,,,,,,,,,,,,-18.0,,
Базовое_масло_2,01510.24,,,,,,,,,,1165.0,2161.0,4323.0,,,,,,,,,,,,,98.0,,,,5.31,,31.81,,,,,,,,,,,,,,,,,,870.7,867.2,,,,,,,,,,,,,,,,,,,,,,,,,-17.0,,
Базовое_масло_2,01767.22,,,,,,5.0,40.0,35.0,30.0,1150.0,2199.0,4564.0,10045.0,,,,,,,,,,,,96.0,15.3,,,5.31,,32.06,,,,3e-05,,0.00056,,0.02433,,,5e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-17.0,,
Базовое_масло_2,01940.22,,,,,,0.0,41.0,39.0,5.0,1067.0,2049.0,4252.0,9446.0,,,,,,,,,,,,99.0,15.0,,,5.25,,31.12,,,,3e-05,,0.00014,,0.032,,,5e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-16.0,,
Базовое_масло_2,01943.23,,,,,,0.0,41.0,39.0,5.0,1250.0,2382.0,4932.0,10861.0,,,,,,,,,,,,97.0,13.7,,,5.45,,33.25,,,,0.0001,,0.0002,,0.021,,,0.0001,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-16.0,,
Базовое_масло_2,01993.25,,,,,,,,,,1172.0,2254.0,4576.0,9992.0,,,,,,,,,,,,100.0,,,,5.38,,32.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.0,,
Базовое_масло_2,0204.22,,,,,,0.0,42.0,38.0,30.0,1224.0,2308.0,4797.0,10565.0,,,,,,,,,,,,96.0,12.8,,,5.4,,33.0,,,,0.00054,,0.00089,,0.02478,,,0.00014,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,
Базовое_масло_2,02360.23,,,,,,0.0,40.0,40.0,5.0,1169.0,2205.0,4520.0,9777.0,,,,,,,,,,,,98.0,14.0,,,5.36,,32.22,,,,3e-05,,2.1e-05,,0.032,,,4e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-16.0,,
Базовое_масло_2,02425.24,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,5.35,,32.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_2,02596.22,,,,,,0.0,42.0,38.0,5.0,1220.0,2250.0,4642.0,10272.0,21000.0,,,,,,,,,,,96.0,14.0,,,5.37,,32.61,,,,5e-05,,3e-05,,0.028,,,1e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-18.0,,
Базовое_масло_2,03275.23,,,,,,0.0,41.0,39.0,2.0,1225.0,2273.0,4718.0,10407.0,,,,,,,,,,,,97.0,12.5,,,5.42,,32.97,,,,0.0001,,0.0002,,0.099,,,0.0001,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-18.0,,
Базовое_масло_2,0407.24,,,,,,0.0,41.0,39.0,5.0,1206.0,2249.0,4651.0,10139.0,,,,,,,,,,,,98.0,13.7,,,5.38,,32.45,,,,,,0.0003,,0.0267,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-18.0,,
Базовое_масло_2,071.23,,,,,,0.0,40.0,40.0,5.0,1133.0,2137.0,4429.0,9680.0,,,,,,,,,,,,99.0,14.0,,,5.36,,32.12,,,,0.0006,,0.0004,,0.017,,,0.0001,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-17.0,,
Базовое_масло_2,0769.22,,,,,,0.0,42.0,38.0,10.0,1237.0,2273.0,4785.0,10513.0,21200.0,,,,,,,,,,,96.0,15.5,,,5.335,,32.39,,,,3e-05,,0.00014,,0.0247,,,3e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-17.0,,
Базовое_масло_2,0858.25,,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,,5.393,,32.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_2,094.25,,,,,,,,,,,2217.0,4629.0,10028.0,,,,,,,,,,,,,,,,5.35,,32.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_3,01278.24,,,,,,,,,,,,,1708.0,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_3,01487.23,,,,,,0.0,40.0,40.0,10.0,388.0,591.0,966.0,1647.0,2993.0,,,,,,,,,,,124.0,9.1,,,4.46,,21.19,,,,0.0002,,0.0003,,0.001,,,0.0002,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-25.0,,
Базовое_масло_3,01508.24,,,,,,,,,,386.0,642.0,1046.0,1765.0,3204.0,,,,,,,,,,,126.0,,,,4.49,,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.0,,
Базовое_масло_3,01600.22,,,,,,,,,,311.0,581.0,999.0,1737.0,3224.0,,,,,,,,,,,130.0,13.1,,,4.611,,21.84,,,,3e-05,,0.00021,,0.00025,,,5e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.0,,
Базовое_масло_3,01939.22,,,,,,0.0,40.0,40.0,5.0,317.0,497.0,876.0,1515.0,3030.0,,,,,,,,,,,127.0,13.2,,,4.33,,19.91,,,,0.0001,,0.0002,,0.0011,,,0.0002,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-18.0,,
Базовое_масло_3,02110.23,,,,,,0.0,40.0,40.0,5.0,419.0,641.0,1019.0,1717.0,3121.0,,,,,,,,,,,120.0,13.7,,,4.42,,21.2,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-24.0,,
Базовое_масло_3,02502.24,,,,,,,,,,,,,1544.0,2800.0,,,,,,,,,,,,,,,4.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.0,,
Базовое_масло_3,02598.22,,,,,,0.0,40.0,40.0,5.0,357.0,561.0,966.0,1671.0,3064.0,,,,,,,,,,,129.0,14.0,,,4.57,,21.55,,,,7e-05,,3e-05,,2e-05,,,5e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-21.0,,
Базовое_масло_3,02868.23 200л,,,,,,,,,,,,938.0,1586.0,2875.0,,,,,,,,,,,127.0,,,,4.47,,20.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0,,
Базовое_масло_3,03003.23,,,,,,0.0,40.0,40.0,5.0,403.0,625.0,1001.0,1694.0,3075.0,,,,,,,,,,,125.0,13.7,,,4.47,,21.0,,,,0.0001,,0.0002,,0.0001,,,0.0001,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-25.0,,
Базовое_масло_3,03601.23,,,,,,,,,,410.0,620.0,984.0,1668.0,3021.0,,,,,,,,,,,127.0,,,,4.5,,21.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0,,
Базовое_масло_3,0415.22,,,,,,0.0,40.0,40.0,5.0,357.0,581.0,928.0,1574.0,2866.0,,,,,,,,,,,132.0,12.9,,,4.501,,20.84,,,,0.00019,,0.00015,,0.00105,,,1e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-14.0,,
Базовое_масло_3,0444.23,,,,,,0.0,40.0,40.0,5.0,,542.0,930.0,1584.0,2869.0,,,,,,,,,,,127.0,14.2,,,4.42,,20.6,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-19.0,,
Базовое_масло_3,0754/23,,,,,,0.0,40.0,40.0,5.0,335.0,519.0,862.0,1466.0,2743.0,,,,,,,,,,,127.0,14.2,,,4.34,,20.02,,,,0.0002,,0.0012,,0.0002,,,0.0002,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-19.0,,
Базовое_масло_3,0886.24,,,,,,,,,,411.0,626.0,1004.0,1695.0,3071.0,,,,,,,,,,,126.0,15.0,,,4.48,,21.19,,,,2e-05,,0.0001,,0.0007,,,7e-05,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,-21.0,,
Базовое_масло_4,01209.25 для SL,,,,,,,,,,,,,12688.0,,,,,,,,,,,,,,,,8.42,,54.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
