component_id,prop__aktivnyi_azot_kislorod_pct_mass_n_ili_o,prop__anilinovaya_tochka,prop__atomnoe_otnoshenie_p_zn,prop__coc_c,prop__deaeratsiya_astm_d3427_min,prop__deem_emulsiya_astm_d1401_ml,prop__deem_maslo_astm_d1401_ml,prop__deem_voda_astm_d1401_ml,prop__deem_vremya_astm_d1401_min,prop__dinamicheskaya_vyazkost_ccs_15_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_20_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_25_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_30_c_astm_d5293_mpa_s,prop__dinamicheskaya_vyazkost_ccs_35_c_astm_d5293_mpa_s,prop__dipolnyi_moment_d,prop__dlina_uglerodnoi_tsepi,prop__energiya_dissotsiatsii_svyazi_h_n_kkal_mol,prop__energiya_nsmo_ev,prop__energiya_vzmo_ev,prop__gruppa_po_api,prop__himicheskii_potentsial_dzh_mol,prop__indeks_polidispersnosti,prop__indeks_stabilnosti_pct,prop__indeks_vyazkosti_gost_25371,prop__indeks_vyazkosti_gost_25371_2,prop__isparyaemost_po_noack_astm_d5800_pct,prop__isparyaemost_po_noack_astm_d5800_pct_mass,prop__kinematicheskaya_vyazkost,prop__kinematicheskaya_vyazkost_pri_100_c_astm_d445_mm2_s,prop__kinematicheskaya_vyazkost_pri_300s_astm_d445_mm2_s,prop__kinematicheskaya_vyazkost_pri_40_c_astm_d445_mm2_s,prop__kislotnoe_chislo_gost_11362_mg_koh_g,prop__massa_gidrofobnogo_hvosta_g_mol,prop__massovaya_dolya_fosfora_astm_d6481_pct_mass,prop__massovaya_dolya_fosfora_astm_d6481_pct_mass_2,prop__massovaya_dolya_kaltsiya_astm_d6481_pct_mass,prop__massovaya_dolya_kaltsiya_astm_d6481_pct_mass_2,prop__massovaya_dolya_sery_astm_d6481_pct_mass,prop__massovaya_dolya_sery_astm_d6481_pct_mass_2,prop__massovaya_dolya_sulfatnoi_zoly_gost_12417_pct,prop__massovaya_dolya_tsinka_astm_d6481_pct_mass,prop__massovaya_dolya_tsinka_astm_d6481_pct_mass_2,prop__obschee_soderzhanie_azota_astm_d3228_pct,prop__opredelenie_soderzhaniya_vody_metodom_karla_fishera_astm_d_6304_ppm,prop__otnoshenie_mylo_osnovanie,prop__otnoshenie_s_mo,prop__pct_mass_mo,prop__plotnost_pri_15_s_astm_d4052_g_sm3,prop__plotnost_pri_15_s_astm_d4052_kg_m3,prop__plotnost_pri_20_s_astm_d4052_kg_m3,prop__posledovatelnost_1_astm_d892_sm3,prop__posledovatelnost_2_astm_d892_sm3,prop__posledovatelnost_3_astm_d892_sm3,prop__potentsial_ionizatsii_ev,prop__razmer_mitsell_nm,prop__schelochnoe_chislo_astm_d2896_mg_koh_g,prop__schelochnoe_chislo_gost_11362_mg_koh_g,prop__soderzhanie_azota,prop__soderzhanie_bora,prop__soderzhanie_masla,prop__soderzhanie_masla_pct_mass,prop__soderzhanie_metalla_ca_mg_pct_mass,prop__soderzhanie_mgco3_caco3_pct_mass,prop__soderzhanie_myla_pct_mass,prop__soderzhanie_polimera,prop__soderzhanie_sery_mg_kg,prop__soderzhanie_sery_pct_mass,prop__soderzhanie_vody_pct_mass,prop__sootnoshenie_monomerov_eo_po,prop__srednevesovaya_massa,prop__stepen_polisulfidnosti,prop__stericheskii_faktor_a3,prop__temperatura_plavleniya_c,prop__temperatura_provedeniya_testa_c,prop__temperatura_zastyvaniya_gost_20287_metod_b_c,prop__tsvet_astm_d1500_ed,prop__tsvet_seibolt_ed
Базовое_масло_12,,,,,,,,,,,,,,,,,,,,4.0,,,,129.0,,,,,,,16.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_13,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,
Базовое_масло_14,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.5,,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.0,,
Базовое_масло_15,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_16,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.0,,
Базовое_масло_17,,68.4,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Базовое_масло_2,,,,,,,,,,,,,,,,,,,,1.0,,,,98.0,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.0,,
Базовое_масло_3,,,,,,,,,,,,,,,,,,,,3.0,,,,123.0,,,15.0,,4.34,,20.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.0,,
Базовое_масло_4,,,,,,,,,,,,,,,,,,,,2.0,,,,115.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.0,,
Базовое_масло_5,,,,,,,,,,,,,,,,,,,,2.0,,,,128.0,,,4.0,,,,52.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.0,,
Базовое_масло_6,,,,,,,,,,,,,,,,,,,,3.0,,,,128.0,,,15.0,,,,19.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.0,,
Базовое_масло_7,,,,,,,,,,,,,,,,,,,,1.0,,,,91.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.0,,
Базовое_масло_8,,,,,,,,,,,,,,,,,,,,2.0,,,,105.0,,,15.0,,,,21.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.0,,
Базовое_масло_9,,,,,,,,,,,,,,,,,,,,2.0,,,,119.0,,,7.0,,,,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.0,,
Детергент_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,0.6571428571,,,,,,,,,,,400.0,,,,,38.0,15.54,35.0,23.0,,,1.6,,,,,,,,,,
Детергент_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,50.0,6.3,20.0,30.0,,,0.5,0.03,,,,,,,,,
Детергент_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,0.7142857143,,,,,,,,,,,400.0,,,,,45.0,15.5,35.0,25.0,,,1.5,,,,,,,,,,
Детергент_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7142857143,,,1.2,,,,,,,,,,,,,40.0,15.7,35.0,25.0,,,1.73,0.2,,,,,,,,,
Детергент_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7142857143,,,,,,,,,,,400.0,,,,,45.0,15.5,35.0,25.0,,,1.6,,,,,,,,,,
Детергент_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.93,,,,,,,,,,,,,,,,33.33333333,,,,,,,,,,,110.0,,,,,48.0,3.9,1.5,50.0,,,3.1,,,,1.15,,,,,,
Детергент_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,255.0,,,,,40.0,9.51,20.0,40.0,,,3.3,,,,1.3,,,,,,
Детергент_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,156.2,,,,,50.0,5.62,10.0,40.0,,,2.44,0.05,,,1.01,,,,,,
Детергент_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,0.99,,,,,,,,,,,,,60.0,6.6,10.0,30.0,,,,,,,,,,,,,
Детергент_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,0.997,,,,,,,,,,,,,50.0,5.5,10.0,40.0,,,2.6,,,,1.2,,,,,,
Детергент_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,50.0,10.2,20.0,30.0,,,,0.03,,,,,,,,,
Детергент_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,1.2,,,,,,,,,,,,,50.0,6.34,20.0,30.0,,,,,,,,,,,,,
Детергент_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.333333333,,,,,,,,,,,,,,,,30.0,8.53,30.0,40.0,,,3.0,,,,1.3,,,,,,
Детергент_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,1.333333333,,,,,,,,,,,,,,,,30.0,,30.0,40.0,,,2.1,,,,,,,,,,
Детергент_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,20.0,11.08,25.0,40.0,,,,,,,,,,,,,
Детергент_23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,40.0,,,,,,,,,,60.0,29.2,,,,,59.0,2.54,1.0,40.0,,,2.65,,,,,,,,,,
Детергент_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,150.0,,,,,60.0,5.8,10.0,40.0,,,2.6,,,,1.3,,,,,,
Детергент_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.55,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,170.0,,,,,60.0,6.34,10.0,30.0,,,,0.09,,,,,,,,,
Детергент_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,100.0,,,,,,60.0,2.48,1.0,40.0,,,2.4,,,,,,,,,,
Детергент_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.09,,,,,,,,,,,,,40.0,5.6,20.0,40.0,,,3.3,0.05,,,1.62,,,,,,
Детергент_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,100.0,,,,,,60.0,2.48,1.0,40.0,,,2.4,,,,,,,,,,
Детергент_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7142857143,,,,,,,,,,,400.0,,,,,45.0,,35.0,25.0,,,1.9,,,,,,,,,,
Детергент_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,2.0,,,1.2,,,,,,,,170.0,,,,,55.0,6.34,15.0,30.0,,,,,,,,,,,,,
Дисперсант_1,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,216.0,,,,,1300.0,,,,,,,,,,,,,,,,,,,,,,,45.0,,2.1,0.0,45.0,,,,,,,,,,,,,,,,,
Дисперсант_10,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,350.0,,,,,1300.0,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.6,50.0,,,,,,,,,,,,,,,,,
Дисперсант_11,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,488.0,,,,,1300.0,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.6,50.0,,,,,,,,,,,,,,,,,
Дисперсант_12,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,512.0,,,,,1300.0,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.6,50.0,,,,,,,,,,,,,,,,,
Дисперсант_13,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,442.0,,,,,1300.0,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.6,50.0,,,,,,,,,,,,,,,,,
Дисперсант_2,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,413.0,,,,,2300.0,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.0,50.0,,,,,,,,,,,,,,,,,
Дисперсант_3,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,194.0,,,,,1300.0,,,,,,,,,,,,,,,,,,,,,,,,,1.28,0.44,40.0,,,,,,,,,,,,,,,,,
Дисперсант_4,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,215.8,,,,,1300.0,,,,,,,,,,,,,,,,,,,,,,,54.4,,1.9,0.0,50.0,,,,,,,,,,,,,,,,,
Дисперсант_5,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,216.0,,,,,1300.0,,,,,,,,,,,,,,,,,,,,,,,45.0,,2.1,0.0,45.0,,,,,,,,,,,,,,,,,
Дисперсант_6,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,413.0,,,,,2300.0,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.0,50.0,,,,,,,,,,,,,,,,,
Дисперсант_7,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,161.0,,,,,1300.0,,,,,,,,,,,,,,,,,,,,,,,24.2,,1.29,0.0,50.0,,,,,,,,,,,,,,,,,
Дисперсант_8,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,400.0,,,,,2300.0,,,,,,,,,,,,,,,,,,,,,,,25.0,,1.2,0.0,,,,,,,,,,,,,,,,,,
Дисперсант_9,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,400.0,,,,,2300.0,,,,,,,,,,,,,,,,,,,,,,,25.0,,1.1,0.0,50.0,,,,,,,,,,,,,,,,,
Загуститель_1,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,1.04,30000.0,,,,,,,
Загуститель_3,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,
Противоизносная_присадка_1,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28,,,,17.6,,,9.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_10,,,0.85,,,,,,,,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,17.8,,,,,,,,,,,,,,,,,18.7,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_11,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28,,,,17.6,,,9.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_17,,,0.92,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,8.3,,,,17.6,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_18,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,,,,17.68,,,9.7,,,,,,,,,,,,,,20.4,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_2,,,0.87,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,7.8,,,,15.0,,,9.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_20,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_21,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_22,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,19.0,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_24,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_25,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_26,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_27,,,0.92,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,8.3,,,,17.6,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_28,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_29,,,0.9473684211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_5,,,0.88,,,,,,,,,,,,,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Противоизносная_присадка_8,,,1.0,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,7.37,,,,15.0,,,7.35,,,,,,,,,,,,,,19.7,,,,,,,,,,,,,,,,,,,,,
Соединение_молибдена_1,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Соединение_молибдена_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Соединение_молибдена_3,,,,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Соединение_молибдена_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Соединение_молибдена_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,1.25,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Соединение_молибдена_6,,,,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.09,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
