component_id,batch_id,batch_id_was_missing,property_name,property_unit,property_value,property_value_numeric,is_numeric_property_value
Антиоксидант_11,typical,False,"Энергия диссоциации связи Х-Н, ккал/моль",,355.19,355.19,True
Антиоксидант_12,02670.23,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.73,5.73,True
Антиоксидант_12,02670.23,False,Общее содержание азота | ASTM D3228,%,8.666,8.666,True
Антиоксидант_12,02670.23,False,"Щелочное число, ASTM D2896",мг KOH/г,189.9,189.9,True
Антиоксидант_12,typical,False,"Дипольный момент, Д",,3.16,3.16,True
Антиоксидант_12,typical,False,Номер CAS / SMILES,,82209-88-9,,False
Антиоксидант_12,typical,False,"Потенциал ионизации,эВ",,6.01,6.01,True
Антиоксидант_12,typical,False,"Стерический фактор, Å3",,57.8,57.8,True
Антиоксидант_12,typical,False,Тип АО,,Дифениламин,,False
Антиоксидант_12,typical,False,"Химический потенциал, Дж/моль",,-2.16,-2.16,True
Антиоксидант_12,typical,False,"Энергия ВЗМО, эВ",,-4.64,-4.64,True
Антиоксидант_12,typical,False,"Энергия НСМО, эВ",,-0.09,-0.09,True
Антиоксидант_12,typical,False,"Энергия диссоциации связи Х-Н, ккал/моль",,359.82,359.82,True
Антиоксидант_13,typical,False,"Активный Азот / Кислород, % масс. (N или O)",,9.4,9.4,True
Антиоксидант_13,typical,False,"Дипольный момент, Д",,3.99,3.99,True
Антиоксидант_13,typical,False,Номер CAS / SMILES,,119-47-1,,False
Антиоксидант_13,typical,False,"Потенциал ионизации,эВ",,6.72,6.72,True
Антиоксидант_13,typical,False,"Стерический фактор, Å3",,64.5,64.5,True
Антиоксидант_13,typical,False,"Температура плавления, °C",,128,128.0,True
Антиоксидант_13,typical,False,Тип АО,,Фенол,,False
Антиоксидант_13,typical,False,"Химический потенциал, Дж/моль",,-2.78,-2.78,True
Антиоксидант_13,typical,False,"Энергия ВЗМО, эВ",,-5.44,-5.44,True
Антиоксидант_13,typical,False,"Энергия НСМО, эВ",,-0.33,-0.33,True
Антиоксидант_13,typical,False,"Энергия диссоциации связи Х-Н, ккал/моль",,368.87,368.87,True
Антиоксидант_14,19776.19,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,14.06,14.06,True
Антиоксидант_14,typical,False,"Активный Азот / Кислород, % масс. (N или O)",,3.5,3.5,True
Антиоксидант_14,typical,False,"Дипольный момент, Д",,1.36,1.36,True
Антиоксидант_14,typical,False,Номер CAS / SMILES,,36878-20-3,,False
Антиоксидант_14,typical,False,"Потенциал ионизации,эВ",,6.5,6.5,True
Антиоксидант_14,typical,False,"Стерический фактор, Å3",,72.1,72.1,True
Антиоксидант_14,typical,False,"Температура разложения, °C",,> 350 °C,,False
Антиоксидант_14,typical,False,Тип АО,,Дифениламин,,False
Антиоксидант_14,typical,False,"Химический потенциал, Дж/моль",,-2.56,-2.56,True
Антиоксидант_14,typical,False,"Энергия ВЗМО, эВ",,-5.15,-5.15,True
Антиоксидант_14,typical,False,"Энергия НСМО, эВ",,-0.34,-0.34,True
Антиоксидант_14,typical,False,"Энергия диссоциации связи Х-Н, ккал/моль",,372.38,372.38,True
Антиоксидант_15,typical,False,"Активный Азот / Кислород, % масс. (N или O)",,7.26,7.26,True
Антиоксидант_15,typical,False,"Дипольный момент, Д",,1.25,1.25,True
Антиоксидант_15,typical,False,Номер CAS / SMILES,,128-37-0,,False
Антиоксидант_15,typical,False,"Потенциал ионизации,эВ",,7.06,7.06,True
Антиоксидант_15,typical,False,"Стерический фактор, Å3",,62.4,62.4,True
Антиоксидант_15,typical,False,"Температура плавления, °C",,70,70.0,True
Антиоксидант_15,typical,False,Тип АО,,Фенол,,False
Антиоксидант_15,typical,False,"Химический потенциал, Дж/моль",,-2.95,-2.95,True
Антиоксидант_15,typical,False,"Энергия ВЗМО, эВ",,-6.09,-6.09,True
Антиоксидант_15,typical,False,"Энергия НСМО, эВ",,-0.03,-0.03,True
Антиоксидант_15,typical,False,"Энергия диссоциации связи Х-Н, ккал/моль",,359.56,359.56,True
Антиоксидант_2,01623.24,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,14.54,14.54,True
Антиоксидант_2,01623.24,False,"Щелочное число, ASTM D2896",мг KOH/г,138.8,138.8,True
Антиоксидант_2,typical,False,"Активный Азот / Кислород, % масс. (N или O)",,3.5,3.5,True
Антиоксидант_2,typical,False,"Дипольный момент, Д",,1.36,1.36,True
Антиоксидант_2,typical,False,Номер CAS / SMILES,,36878-20-3,,False
Антиоксидант_2,typical,False,"Потенциал ионизации,эВ",,6.5,6.5,True
Антиоксидант_2,typical,False,"Стерический фактор, Å3",,72.1,72.1,True
Антиоксидант_2,typical,False,"Температура разложения, °C",,> 350 °C,,False
Антиоксидант_2,typical,False,Тип АО,,Дифениламин,,False
Антиоксидант_2,typical,False,"Химический потенциал, Дж/моль",,-2.56,-2.56,True
Антиоксидант_2,typical,False,"Энергия ВЗМО, эВ",,-5.15,-5.15,True
Антиоксидант_2,typical,False,"Энергия НСМО, эВ",,-0.34,-0.34,True
Антиоксидант_2,typical,False,"Энергия диссоциации связи Х-Н, ккал/моль",,372.38,372.38,True
Антиоксидант_3,01029/23,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,10.51,10.51,True
Антиоксидант_3,01029/23,False,"Щелочное число, ASTM D2896",мг KOH/г,177.1,177.1,True
Антиоксидант_3,01198.23,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,11.04,11.04,True
Антиоксидант_3,01198.23,False,"Массовая доля кальция, ASTM D6481",% масс,0.0002,0.0002,True
Антиоксидант_3,01198.23,False,"Массовая доля серы, ASTM D6481",% масс,0.0002,0.0002,True
Антиоксидант_3,01198.23,False,"Массовая доля фосфора, ASTM D6481",% масс,0.0002,0.0002,True
Антиоксидант_3,01198.23,False,"Массовая доля цинка, ASTM D6481",% масс,0.0002,0.0002,True
Антиоксидант_3,01198.23,False,"Щелочное число, ASTM D2896",мг KOH/г,176.3,176.3,True
Антиоксидант_3,02719.22,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,11.7,11.7,True
Антиоксидант_3,02719.22,False,"Щелочное число, ASTM D2896",мг KOH/г,166.7,166.7,True
Антиоксидант_3,typical,False,"Активный Азот / Кислород, % масс. (N или O)",,4.43,4.43,True
Антиоксидант_3,typical,False,"Дипольный момент, Д",,0.54,0.54,True
Антиоксидант_3,typical,False,Номер CAS / SMILES,,68411-46-1,,False
Антиоксидант_3,typical,False,"Потенциал ионизации,эВ",,7.18,7.18,True
Антиоксидант_3,typical,False,"Стерический фактор, Å3",,57.7,57.7,True
Антиоксидант_3,typical,False,"Температура плавления, °C",,-31,-31.0,True
Антиоксидант_3,typical,False,"Температура разложения, °C",,> 350 °C,,False
Антиоксидант_3,typical,False,Тип АО,,Дифениламин,,False
Антиоксидант_3,typical,False,"Химический потенциал, Дж/моль",,-2.75,-2.75,True
Антиоксидант_3,typical,False,"Энергия ВЗМО, эВ",,-4.98,-4.98,True
Антиоксидант_3,typical,False,"Энергия НСМО, эВ",,-0.22,-0.22,True
Антиоксидант_3,typical,False,"Энергия диссоциации связи Х-Н, ккал/моль",,361.94,361.94,True
Антиоксидант_4,typical,False,"Активный Азот / Кислород, % масс. (N или O)",,4.43,4.43,True
Антиоксидант_4,typical,False,"Дипольный момент, Д",,0.54,0.54,True
Антиоксидант_4,typical,False,Номер CAS / SMILES,,68411-46-1,,False
Антиоксидант_4,typical,False,"Потенциал ионизации,эВ",,7.18,7.18,True
Антиоксидант_4,typical,False,"Стерический фактор, Å3",,57.7,57.7,True
Антиоксидант_4,typical,False,"Температура плавления, °C",,-31,-31.0,True
Антиоксидант_4,typical,False,"Температура разложения, °C",,> 350 °C,,False
Антиоксидант_4,typical,False,Тип АО,,Дифениламин,,False
Антиоксидант_4,typical,False,"Химический потенциал, Дж/моль",,-2.75,-2.75,True
Антиоксидант_4,typical,False,"Энергия ВЗМО, эВ",,-4.98,-4.98,True
Антиоксидант_4,typical,False,"Энергия НСМО, эВ",,-0.22,-0.22,True
Антиоксидант_4,typical,False,"Энергия диссоциации связи Х-Н, ккал/моль",,361.94,361.94,True
Антиоксидант_6,typical,False,"Активный Азот / Кислород, % масс. (N или O)",,4.102564103,4.102564103,True
Антиоксидант_6,typical,False,"Дипольный момент, Д",,2.58,2.58,True
Антиоксидант_6,typical,False,Номер CAS / SMILES,,125643-61-0,,False
Антиоксидант_6,typical,False,"Потенциал ионизации,эВ",,7.2,7.2,True
Антиоксидант_6,typical,False,"Стерический фактор, Å3",,62.4,62.4,True
Антиоксидант_6,typical,False,"Температура плавления, °C",,-31,-31.0,True
Антиоксидант_6,typical,False,Тип АО,,Фенол,,False
Антиоксидант_6,typical,False,"Химический потенциал, Дж/моль",,-2.84,-2.84,True
Антиоксидант_6,typical,False,"Энергия ВЗМО, эВ",,-5.73,-5.73,True
Антиоксидант_6,typical,False,"Энергия НСМО, эВ",,-0.05,-0.05,True
Антиоксидант_6,typical,False,"Энергия диссоциации связи Х-Н, ккал/моль",,362.92,362.92,True
Антиоксидант_7,typical,False,"Активный Азот / Кислород, % масс. (N или O)",,4.43,4.43,True
Антиоксидант_7,typical,False,"Дипольный момент, Д",,0.54,0.54,True
Антиоксидант_7,typical,False,Номер CAS / SMILES,,68411-46-1,,False
Антиоксидант_7,typical,False,"Потенциал ионизации,эВ",,7.18,7.18,True
Антиоксидант_7,typical,False,"Стерический фактор, Å3",,57.7,57.7,True
Антиоксидант_7,typical,False,"Температура плавления, °C",,-31,-31.0,True
Антиоксидант_7,typical,False,"Температура разложения, °C",,> 350 °C,,False
Антиоксидант_7,typical,False,Тип АО,,Дифениламин,,False
Антиоксидант_7,typical,False,"Химический потенциал, Дж/моль",,-2.75,-2.75,True
Антиоксидант_7,typical,False,"Энергия ВЗМО, эВ",,-4.98,-4.98,True
Антиоксидант_7,typical,False,"Энергия НСМО, эВ",,-0.22,-0.22,True
Антиоксидант_7,typical,False,"Энергия диссоциации связи Х-Н, ккал/моль",,361.94,361.94,True
Антиоксидант_8,typical,False,"Активный Азот / Кислород, % масс. (N или O)",,4.102564103,4.102564103,True
Антиоксидант_8,typical,False,"Дипольный момент, Д",,1.66,1.66,True
Антиоксидант_8,typical,False,Номер CAS / SMILES,,125643-61-0,,False
Антиоксидант_8,typical,False,"Потенциал ионизации,эВ",,7.18,7.18,True
Антиоксидант_8,typical,False,"Стерический фактор, Å3",,62.4,62.4,True
Антиоксидант_8,typical,False,Тип АО,,Фенол,,False
Антиоксидант_8,typical,False,"Химический потенциал, Дж/моль",,-2.75,-2.75,True
Антиоксидант_8,typical,False,"Энергия ВЗМО, эВ",,-5.58,-5.58,True
Антиоксидант_8,typical,False,"Энергия НСМО, эВ",,0.035,0.035,True
Антиоксидант_8,typical,False,"Энергия диссоциации связи Х-Н, ккал/моль",,355.19,355.19,True
Антиоксидант_9,typical,False,"Активный Азот / Кислород, % масс. (N или O)",,4.43,4.43,True
Антиоксидант_9,typical,False,"Дипольный момент, Д",,0.54,0.54,True
Антиоксидант_9,typical,False,Номер CAS / SMILES,,68411-46-1,,False
Антиоксидант_9,typical,False,"Потенциал ионизации,эВ",,7.18,7.18,True
Антиоксидант_9,typical,False,"Стерический фактор, Å3",,57.7,57.7,True
Антиоксидант_9,typical,False,"Температура плавления, °C",,-31,-31.0,True
Антиоксидант_9,typical,False,"Температура разложения, °C",,> 350 °C,,False
Антиоксидант_9,typical,False,Тип АО,,Дифениламин,,False
Антиоксидант_9,typical,False,"Химический потенциал, Дж/моль",,-2.75,-2.75,True
Антиоксидант_9,typical,False,"Энергия ВЗМО, эВ",,-4.98,-4.98,True
Антиоксидант_9,typical,False,"Энергия НСМО, эВ",,-0.22,-0.22,True
Антиоксидант_9,typical,False,"Энергия диссоциации связи Х-Н, ккал/моль",,361.94,361.94,True
Антипенная_присадка_3,б/н,False,"Массовая доля кальция, ASTM D6481",% масс,0,0.0,True
Антипенная_присадка_3,б/н,False,"Массовая доля серы, ASTM D6481",% масс,0,0.0,True
Антипенная_присадка_3,б/н,False,"Массовая доля фосфора, ASTM D6481",% масс,0,0.0,True
Антипенная_присадка_3,б/н,False,"Массовая доля цинка, ASTM D6481",% масс,0,0.0,True
Базовое_масло_1,01044.23,False,Деэм.вода | ASTM D1401,мл,41,41.0,True
Базовое_масло_1,01044.23,False,Деэм.время | ASTM D1401,мин,30,30.0,True
Базовое_масло_1,01044.23,False,Деэм.масло | ASTM D1401,мл,39,39.0,True
Базовое_масло_1,01044.23,False,Деэм.эмульсия | ASTM D1401,мл,0,0.0,True
Базовое_масло_1,01044.23,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,500,500.0,True
Базовое_масло_1,01044.23,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,777,777.0,True
Базовое_масло_1,01044.23,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1269,1269.0,True
Базовое_масло_1,01044.23,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2253,2253.0,True
Базовое_масло_1,01044.23,False,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,4187,4187.0,True
Базовое_масло_1,01044.23,False,"Индекс вязкости, ГОСТ 25371",–,113,113.0,True
Базовое_масло_1,01044.23,False,"Испаряемость по NOACK, ASTM D5800",%,14.5,14.5,True
Базовое_масло_1,01044.23,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.445,4.445,True
Базовое_масло_1,01044.23,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.02,22.02,True
Базовое_масло_1,01044.23,False,"Массовая доля кальция, ASTM D6481",% масс,0.00092,0.00092,True
Базовое_масло_1,01044.23,False,"Массовая доля серы, ASTM D6481",% масс,0.0078,0.0078,True
Базовое_масло_1,01044.23,False,"Массовая доля фосфора, ASTM D6481",% масс,0.0031,0.0031,True
Базовое_масло_1,01044.23,False,"Массовая доля цинка, ASTM D6481",% масс,0.00001,1e-05,True
Базовое_масло_1,01044.23,False,Последовательность 1 | ASTM D892,см³,0,0.0,True
Базовое_масло_1,01044.23,False,Последовательность 2 | ASTM D892,см³,0,0.0,True
Базовое_масло_1,01044.23,False,Последовательность 3 | ASTM D892,см³,0,0.0,True
Базовое_масло_1,01044.23,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-22,-22.0,True
Базовое_масло_1,01509.24,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,517,517.0,True
Базовое_масло_1,01509.24,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,863,863.0,True
Базовое_масло_1,01509.24,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1407,1407.0,True
Базовое_масло_1,01509.24,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2461,2461.0,True
Базовое_масло_1,01509.24,False,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,4719,4719.0,True
Базовое_масло_1,01509.24,False,"Индекс вязкости, ГОСТ 25371",–,110,110.0,True
Базовое_масло_1,01509.24,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.5,4.5,True
Базовое_масло_1,01509.24,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.76,22.76,True
Базовое_масло_1,01509.24,False,"Плотность при 15°С, ASTM D4052",кг/м³,843.6,843.6,True
Базовое_масло_1,01509.24,False,"Плотность при 20°С, ASTM D4052",кг/м³,840.2,840.2,True
Базовое_масло_1,01509.24,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-28,-28.0,True
Базовое_масло_1,01595.25,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,790,790.0,True
Базовое_масло_1,01595.25,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1338,1338.0,True
Базовое_масло_1,01595.25,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2348,2348.0,True
Базовое_масло_1,01595.25,False,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,4420,4420.0,True
Базовое_масло_1,01595.25,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.48,4.48,True
Базовое_масло_1,01595.25,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.35,22.35,True
Базовое_масло_1,01941.23,False,Деэм.вода | ASTM D1401,мл,41,41.0,True
Базовое_масло_1,01941.23,False,Деэм.время | ASTM D1401,мин,5,5.0,True
Базовое_масло_1,01941.23,False,Деэм.масло | ASTM D1401,мл,39,39.0,True
Базовое_масло_1,01941.23,False,Деэм.эмульсия | ASTM D1401,мл,0,0.0,True
Базовое_масло_1,01941.23,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,524,524.0,True
Базовое_масло_1,01941.23,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,818,818.0,True
Базовое_масло_1,01941.23,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1235,1235.0,True
Базовое_масло_1,01941.23,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2332,2332.0,True
Базовое_масло_1,01941.23,False,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,4335,4335.0,True
Базовое_масло_1,01941.23,False,"Индекс вязкости, ГОСТ 25371",–,112,112.0,True
Базовое_масло_1,01941.23,False,"Испаряемость по NOACK, ASTM D5800",%,13.5,13.5,True
Базовое_масло_1,01941.23,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.5,4.5,True
Базовое_масло_1,01941.23,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.52,22.52,True
Базовое_масло_1,01941.23,False,"Массовая доля кальция, ASTM D6481",% масс,0.0042,0.0042,True
Базовое_масло_1,01941.23,False,"Массовая доля серы, ASTM D6481",% масс,0.0049,0.0049,True
Базовое_масло_1,01941.23,False,"Массовая доля фосфора, ASTM D6481",% масс,0.0055,0.0055,True
Базовое_масло_1,01941.23,False,"Массовая доля цинка, ASTM D6481",% масс,0.0001,0.0001,True
Базовое_масло_1,01941.23,False,Последовательность 1 | ASTM D892,см³,0,0.0,True
Базовое_масло_1,01941.23,False,Последовательность 2 | ASTM D892,см³,0,0.0,True
Базовое_масло_1,01941.23,False,Последовательность 3 | ASTM D892,см³,0,0.0,True
Базовое_масло_1,01941.23,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-25,-25.0,True
Базовое_масло_1,01987.25,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,507,507.0,True
Базовое_масло_1,01987.25,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,809,809.0,True
Базовое_масло_1,01987.25,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1338,1338.0,True
Базовое_масло_1,01987.25,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2338,2338.0,True
Базовое_масло_1,01987.25,False,"Индекс вязкости, ГОСТ 25371",–,115,115.0,True
Базовое_масло_1,01987.25,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.51,4.51,True
Базовое_масло_1,01987.25,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.35,22.35,True
Базовое_масло_1,01987.25,False,"Плотность при 15°С, ASTM D4052",кг/м³,843.7,843.7,True
Базовое_масло_1,01987.25,False,"Плотность при 20°С, ASTM D4052",кг/м³,840.6,840.6,True
Базовое_масло_1,02228.25,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.444,4.444,True
Базовое_масло_1,02228.25,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,"21,75",,False
Базовое_масло_1,02375.24,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,491,491.0,True
Базовое_масло_1,02375.24,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,777,777.0,True
Базовое_масло_1,02375.24,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1321,1321.0,True
Базовое_масло_1,02375.24,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2359,2359.0,True
Базовое_масло_1,02375.24,False,"Индекс вязкости, ГОСТ 25371",–,112,112.0,True
Базовое_масло_1,02375.24,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.52,4.52,True
Базовое_масло_1,02375.24,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.72,22.72,True
Базовое_масло_1,02375.24,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-26,-26.0,True
Базовое_масло_1,0248.24,False,Деэм.вода | ASTM D1401,мл,40,40.0,True
Базовое_масло_1,0248.24,False,Деэм.время | ASTM D1401,мин,5,5.0,True
Базовое_масло_1,0248.24,False,Деэм.масло | ASTM D1401,мл,40,40.0,True
Базовое_масло_1,0248.24,False,Деэм.эмульсия | ASTM D1401,мл,0,0.0,True
Базовое_масло_1,0248.24,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,530,530.0,True
Базовое_масло_1,0248.24,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,829,829.0,True
Базовое_масло_1,0248.24,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1373,1373.0,True
Базовое_масло_1,0248.24,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2418,2418.0,True
Базовое_масло_1,0248.24,False,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,4530,4530.0,True
Базовое_масло_1,0248.24,False,"Индекс вязкости, ГОСТ 25371",–,112,112.0,True
Базовое_масло_1,0248.24,False,"Испаряемость по NOACK, ASTM D5800",%,14.2,14.2,True
Базовое_масло_1,0248.24,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.51,4.51,True
Базовое_масло_1,0248.24,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.64,22.64,True
Базовое_масло_1,0248.24,False,"Массовая доля кальция, ASTM D6481",% масс,0.0002,0.0002,True
Базовое_масло_1,0248.24,False,"Массовая доля серы, ASTM D6481",% масс,0.0009,0.0009,True
Базовое_масло_1,0248.24,False,"Массовая доля фосфора, ASTM D6481",% масс,0.0001,0.0001,True
Базовое_масло_1,0248.24,False,"Массовая доля цинка, ASTM D6481",% масс,0.0001,0.0001,True
Базовое_масло_1,0248.24,False,Последовательность 1 | ASTM D892,см³,0,0.0,True
Базовое_масло_1,0248.24,False,Последовательность 2 | ASTM D892,см³,0,0.0,True
Базовое_масло_1,0248.24,False,Последовательность 3 | ASTM D892,см³,0,0.0,True
Базовое_масло_1,0248.24,False,"Температура застывания, ГОСТ 20287, метод Б",°C,-24,-24.0,True
Базовое_масло_1,02509.25,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,477,477.0,True
Базовое_масло_1,02509.25,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,746,746.0,True
Базовое_масло_1,02509.25,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1233,1233.0,True
Базовое_масло_1,02509.25,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2112,2112.0,True
Базовое_масло_1,02509.25,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.428,4.428,True
Базовое_масло_1,02509.25,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,21.61,21.61,True
Базовое_масло_1,02593.23,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2303,2303.0,True
Базовое_масло_1,02593.23,False,"Индекс вязкости, ГОСТ 25371",–,112,112.0,True
Базовое_масло_1,02593.23,False,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.48,4.48,True
Базовое_масло_1,02593.23,False,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.36,22.36,True
Базовое_масло_1,02593.23,False,"Массовая доля серы, ASTM D6481",% масс,0.0001,0.0001,True
Базовое_масло_1,02593.23,False,Цвет Сейболт | -,ед.,30,30.0,True
Базовое_масло_1,03004.23,False,Деэм.вода | ASTM D1401,мл,40,40.0,True
Базовое_масло_1,03004.23,False,Деэм.время | ASTM D1401,мин,5,5.0,True
Базовое_масло_1,03004.23,False,Деэм.масло | ASTM D1401,мл,40,40.0,True
Базовое_масло_1,03004.23,False,Деэм.эмульсия | ASTM D1401,мл,0,0.0,True
Базовое_масло_1,03004.23,False,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,518,518.0,True
Базовое_масло_1,03004.23,False,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,800,800.0,True
Базовое_масло_1,03004.23,False,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1321,1321.0,True
Базовое_масло_1,03004.23,False,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2309,2309.0,True
